# IP 지역 분류 정의 파일
# 형식: IP_클래스,지역명,설명
# A 클래스 (첫 번째 옥텟)
132.,미국 (ARIN),미국 북동부
133.,미국 (ARIN),미국 북동부
134.,미국 (ARIN),미국 북동부
135.,미국 (ARIN),미국 북동부
136.,미국 (ARIN),미국 북동부
137.,미국 (ARIN),미국 북동부
138.,미국 (ARIN),미국 북동부
139.,미국 (ARIN),미국 북동부
140.,미국 (ARIN),미국 북동부
141.,미국 (ARIN),미국 북동부
142.,미국 (ARIN),미국 북동부
143.,미국 (ARIN),미국 북동부
144.,미국 (ARIN),미국 북동부
145.,미국 (ARIN),미국 북동부
146.,미국 (ARIN),미국 북동부
147.,미국 (ARIN),미국 북동부
148.,미국 (ARIN),미국 북동부
149.,미국 (ARIN),미국 북동부
150.,미국 (ARIN),미국 북동부
151.,미국 (ARIN),미국 북동부
152.,미국 (ARIN),미국 북동부
153.,미국 (ARIN),미국 북동부
154.,미국 (ARIN),미국 북동부
155.,미국 (ARIN),미국 북동부
156.,미국 (ARIN),미국 북동부
157.,미국 (ARIN),미국 북동부
158.,미국 (ARIN),미국 북동부
159.,미국 (ARIN),미국 북동부
160.,미국 (ARIN),미국 북동부
161.,미국 (ARIN),미국 북동부
162.,미국 (ARIN),미국 북동부
163.,미국 (ARIN),미국 북동부
164.,미국 (ARIN),미국 북동부
165.,미국 (ARIN),미국 북동부
166.,미국 (ARIN),미국 북동부
167.,미국 (ARIN),미국 북동부
168.,미국 (ARIN),미국 북동부
169.,미국 (ARIN),미국 북동부
170.,미국 (ARIN),미국 북동부
171.,미국 (ARIN),미국 북동부
172.,미국 (ARIN),미국 북동부
173.,미국 (ARIN),미국 북동부
174.,미국 (ARIN),미국 북동부
175.,미국 (ARIN),미국 북동부
176.,미국 (ARIN),미국 북동부
177.,미국 (ARIN),미국 북동부
178.,미국 (ARIN),미국 북동부
179.,미국 (ARIN),미국 북동부
180.,미국 (ARIN),미국 북동부
181.,미국 (ARIN),미국 북동부
182.,미국 (ARIN),미국 북동부
183.,미국 (ARIN),미국 북동부
184.,미국 (ARIN),미국 북동부
185.,미국 (ARIN),미국 북동부
186.,미국 (ARIN),미국 북동부
187.,미국 (ARIN),미국 북동부
188.,미국 (ARIN),미국 북동부
189.,미국 (ARIN),미국 북동부
190.,미국 (ARIN),미국 북동부
191.,미국 (ARIN),미국 북동부
192.,미국 (ARIN),미국 북동부
193.,미국 (ARIN),미국 북동부
194.,미국 (ARIN),미국 북동부
195.,미국 (ARIN),미국 북동부
196.,미국 (ARIN),미국 북동부
197.,미국 (ARIN),미국 북동부
198.,미국 (ARIN),미국 북동부
199.,미국 (ARIN),미국 북동부
200.,미국 (ARIN),미국 북동부
201.,미국 (ARIN),미국 북동부
202.,미국 (ARIN),미국 북동부
203.,미국 (ARIN),미국 북동부
204.,미국 (ARIN),미국 북동부
205.,미국 (ARIN),미국 북동부
206.,미국 (ARIN),미국 북동부
207.,미국 (ARIN),미국 북동부
208.,미국 (ARIN),미국 북동부
209.,미국 (ARIN),미국 북동부
210.,미국 (ARIN),미국 북동부
211.,미국 (ARIN),미국 북동부
212.,미국 (ARIN),미국 북동부
213.,미국 (ARIN),미국 북동부
214.,미국 (ARIN),미국 북동부
215.,미국 (ARIN),미국 북동부
216.,미국 (ARIN),미국 북동부
217.,미국 (ARIN),미국 북동부
218.,미국 (ARIN),미국 북동부
219.,미국 (ARIN),미국 북동부
220.,미국 (ARIN),미국 북동부
221.,미국 (ARIN),미국 북동부
222.,미국 (ARIN),미국 북동부
223.,미국 (ARIN),미국 북동부
224.,멀티캐스트,멀티캐스트 주소
225.,멀티캐스트,멀티캐스트 주소
226.,멀티캐스트,멀티캐스트 주소
227.,멀티캐스트,멀티캐스트 주소
228.,멀티캐스트,멀티캐스트 주소
229.,멀티캐스트,멀티캐스트 주소
230.,멀티캐스트,멀티캐스트 주소
231.,멀티캐스트,멀티캐스트 주소
232.,멀티캐스트,멀티캐스트 주소
233.,멀티캐스트,멀티캐스트 주소
234.,멀티캐스트,멀티캐스트 주소
235.,멀티캐스트,멀티캐스트 주소
236.,멀티캐스트,멀티캐스트 주소
237.,멀티캐스트,멀티캐스트 주소
238.,멀티캐스트,멀티캐스트 주소
239.,멀티캐스트,멀티캐스트 주소
240.,예약됨,예약된 주소
241.,예약됨,예약된 주소
242.,예약됨,예약된 주소
243.,예약됨,예약된 주소
244.,예약됨,예약된 주소
245.,예약됨,예약된 주소
246.,예약됨,예약된 주소
247.,예약됨,예약된 주소
248.,예약됨,예약된 주소
249.,예약됨,예약된 주소
250.,예약됨,예약된 주소
251.,예약됨,예약된 주소
252.,예약됨,예약된 주소
253.,예약됨,예약된 주소
254.,예약됨,예약된 주소
255.,예약됨,예약된 주소
0.,예약됨,예약된 주소

# B 클래스 (첫 번째 + 두 번째 옥텟) - 더 정확한 지역 분류
# 사설 네트워크
10.0.,사설 네트워크,사설 IP 대역
10.1.,사설 네트워크,사설 IP 대역
10.2.,사설 네트워크,사설 IP 대역
10.3.,사설 네트워크,사설 IP 대역
10.4.,사설 네트워크,사설 IP 대역
10.5.,사설 네트워크,사설 IP 대역
10.6.,사설 네트워크,사설 IP 대역
10.7.,사설 네트워크,사설 IP 대역
10.8.,사설 네트워크,사설 IP 대역
10.9.,사설 네트워크,사설 IP 대역
10.10.,사설 네트워크,사설 IP 대역
10.11.,사설 네트워크,사설 IP 대역
10.12.,사설 네트워크,사설 IP 대역
10.13.,사설 네트워크,사설 IP 대역
10.14.,사설 네트워크,사설 IP 대역
10.15.,사설 네트워크,사설 IP 대역
10.16.,사설 네트워크,사설 IP 대역
10.17.,사설 네트워크,사설 IP 대역
10.18.,사설 네트워크,사설 IP 대역
10.19.,사설 네트워크,사설 IP 대역
10.20.,사설 네트워크,사설 IP 대역
10.21.,사설 네트워크,사설 IP 대역
10.22.,사설 네트워크,사설 IP 대역
10.23.,사설 네트워크,사설 IP 대역
10.24.,사설 네트워크,사설 IP 대역
10.25.,사설 네트워크,사설 IP 대역
10.26.,사설 네트워크,사설 IP 대역
10.27.,사설 네트워크,사설 IP 대역
10.28.,사설 네트워크,사설 IP 대역
10.29.,사설 네트워크,사설 IP 대역
10.30.,사설 네트워크,사설 IP 대역
10.31.,사설 네트워크,사설 IP 대역
10.32.,사설 네트워크,사설 IP 대역
10.33.,사설 네트워크,사설 IP 대역
10.34.,사설 네트워크,사설 IP 대역
10.35.,사설 네트워크,사설 IP 대역
10.36.,사설 네트워크,사설 IP 대역
10.37.,사설 네트워크,사설 IP 대역
10.38.,사설 네트워크,사설 IP 대역
10.39.,사설 네트워크,사설 IP 대역
10.40.,사설 네트워크,사설 IP 대역
10.41.,사설 네트워크,사설 IP 대역
10.42.,사설 네트워크,사설 IP 대역
10.43.,사설 네트워크,사설 IP 대역
10.44.,사설 네트워크,사설 IP 대역
10.45.,사설 네트워크,사설 IP 대역
10.46.,사설 네트워크,사설 IP 대역
10.47.,사설 네트워크,사설 IP 대역
10.48.,사설 네트워크,사설 IP 대역
10.49.,사설 네트워크,사설 IP 대역
10.50.,사설 네트워크,사설 IP 대역
10.51.,사설 네트워크,사설 IP 대역
10.52.,사설 네트워크,사설 IP 대역
10.53.,사설 네트워크,사설 IP 대역
10.54.,사설 네트워크,사설 IP 대역
10.55.,사설 네트워크,사설 IP 대역
10.56.,사설 네트워크,사설 IP 대역
10.57.,사설 네트워크,사설 IP 대역
10.58.,사설 네트워크,사설 IP 대역
10.59.,사설 네트워크,사설 IP 대역
10.60.,사설 네트워크,사설 IP 대역
10.61.,사설 네트워크,사설 IP 대역
10.62.,사설 네트워크,사설 IP 대역
10.63.,사설 네트워크,사설 IP 대역
10.64.,사설 네트워크,사설 IP 대역
10.65.,사설 네트워크,사설 IP 대역
10.66.,사설 네트워크,사설 IP 대역
10.67.,사설 네트워크,사설 IP 대역
10.68.,사설 네트워크,사설 IP 대역
10.69.,사설 네트워크,사설 IP 대역
10.70.,사설 네트워크,사설 IP 대역
10.71.,사설 네트워크,사설 IP 대역
10.72.,사설 네트워크,사설 IP 대역
10.73.,사설 네트워크,사설 IP 대역
10.74.,사설 네트워크,사설 IP 대역
10.75.,사설 네트워크,사설 IP 대역
10.76.,사설 네트워크,사설 IP 대역
10.77.,사설 네트워크,사설 IP 대역
10.78.,사설 네트워크,사설 IP 대역
10.79.,사설 네트워크,사설 IP 대역
10.80.,사설 네트워크,사설 IP 대역
10.81.,사설 네트워크,사설 IP 대역
10.82.,사설 네트워크,사설 IP 대역
10.83.,사설 네트워크,사설 IP 대역
10.84.,사설 네트워크,사설 IP 대역
10.85.,사설 네트워크,사설 IP 대역
10.86.,사설 네트워크,사설 IP 대역
10.87.,사설 네트워크,사설 IP 대역
10.88.,사설 네트워크,사설 IP 대역
10.89.,사설 네트워크,사설 IP 대역
10.90.,사설 네트워크,사설 IP 대역
10.91.,사설 네트워크,사설 IP 대역
10.92.,사설 네트워크,사설 IP 대역
10.93.,사설 네트워크,사설 IP 대역
10.94.,사설 네트워크,사설 IP 대역
10.95.,사설 네트워크,사설 IP 대역
10.96.,사설 네트워크,사설 IP 대역
10.97.,사설 네트워크,사설 IP 대역
10.98.,사설 네트워크,사설 IP 대역
10.99.,사설 네트워크,사설 IP 대역
10.100.,사설 네트워크,사설 IP 대역
10.101.,사설 네트워크,사설 IP 대역
10.102.,사설 네트워크,사설 IP 대역
10.103.,사설 네트워크,사설 IP 대역
10.104.,사설 네트워크,사설 IP 대역
10.105.,사설 네트워크,사설 IP 대역
10.106.,사설 네트워크,사설 IP 대역
10.107.,사설 네트워크,사설 IP 대역
10.108.,사설 네트워크,사설 IP 대역
10.109.,사설 네트워크,사설 IP 대역
10.110.,사설 네트워크,사설 IP 대역
10.111.,사설 네트워크,사설 IP 대역
10.112.,사설 네트워크,사설 IP 대역
10.113.,사설 네트워크,사설 IP 대역
10.114.,사설 네트워크,사설 IP 대역
10.115.,사설 네트워크,사설 IP 대역
10.116.,사설 네트워크,사설 IP 대역
10.117.,사설 네트워크,사설 IP 대역
10.118.,사설 네트워크,사설 IP 대역
10.119.,사설 네트워크,사설 IP 대역
10.120.,사설 네트워크,사설 IP 대역
10.121.,사설 네트워크,사설 IP 대역
10.122.,사설 네트워크,사설 IP 대역
10.123.,사설 네트워크,사설 IP 대역
10.124.,사설 네트워크,사설 IP 대역
10.125.,사설 네트워크,사설 IP 대역
10.126.,사설 네트워크,사설 IP 대역
10.127.,사설 네트워크,사설 IP 대역
10.128.,사설 네트워크,사설 IP 대역
10.129.,사설 네트워크,사설 IP 대역
10.130.,사설 네트워크,사설 IP 대역
10.131.,사설 네트워크,사설 IP 대역
10.132.,사설 네트워크,사설 IP 대역
10.133.,사설 네트워크,사설 IP 대역
10.134.,사설 네트워크,사설 IP 대역
10.135.,사설 네트워크,사설 IP 대역
10.136.,사설 네트워크,사설 IP 대역
10.137.,사설 네트워크,사설 IP 대역
10.138.,사설 네트워크,사설 IP 대역
10.139.,사설 네트워크,사설 IP 대역
10.140.,사설 네트워크,사설 IP 대역
10.141.,사설 네트워크,사설 IP 대역
10.142.,사설 네트워크,사설 IP 대역
10.143.,사설 네트워크,사설 IP 대역
10.144.,사설 네트워크,사설 IP 대역
10.145.,사설 네트워크,사설 IP 대역
10.146.,사설 네트워크,사설 IP 대역
10.147.,사설 네트워크,사설 IP 대역
10.148.,사설 네트워크,사설 IP 대역
10.149.,사설 네트워크,사설 IP 대역
10.150.,사설 네트워크,사설 IP 대역
10.151.,사설 네트워크,사설 IP 대역
10.152.,사설 네트워크,사설 IP 대역
10.153.,사설 네트워크,사설 IP 대역
10.154.,사설 네트워크,사설 IP 대역
10.155.,사설 네트워크,사설 IP 대역
10.156.,사설 네트워크,사설 IP 대역
10.157.,사설 네트워크,사설 IP 대역
10.158.,사설 네트워크,사설 IP 대역
10.159.,사설 네트워크,사설 IP 대역
10.160.,사설 네트워크,사설 IP 대역
10.161.,사설 네트워크,사설 IP 대역
10.162.,사설 네트워크,사설 IP 대역
10.163.,사설 네트워크,사설 IP 대역
10.164.,사설 네트워크,사설 IP 대역
10.165.,사설 네트워크,사설 IP 대역
10.166.,사설 네트워크,사설 IP 대역
10.167.,사설 네트워크,사설 IP 대역
10.168.,사설 네트워크,사설 IP 대역
10.169.,사설 네트워크,사설 IP 대역
10.170.,사설 네트워크,사설 IP 대역
10.171.,사설 네트워크,사설 IP 대역
10.172.,사설 네트워크,사설 IP 대역
10.173.,사설 네트워크,사설 IP 대역
10.174.,사설 네트워크,사설 IP 대역
10.175.,사설 네트워크,사설 IP 대역
10.176.,사설 네트워크,사설 IP 대역
10.177.,사설 네트워크,사설 IP 대역
10.178.,사설 네트워크,사설 IP 대역
10.179.,사설 네트워크,사설 IP 대역
10.180.,사설 네트워크,사설 IP 대역
10.181.,사설 네트워크,사설 IP 대역
10.182.,사설 네트워크,사설 IP 대역
10.183.,사설 네트워크,사설 IP 대역
10.184.,사설 네트워크,사설 IP 대역
10.185.,사설 네트워크,사설 IP 대역
10.186.,사설 네트워크,사설 IP 대역
10.187.,사설 네트워크,사설 IP 대역
10.188.,사설 네트워크,사설 IP 대역
10.189.,사설 네트워크,사설 IP 대역
10.190.,사설 네트워크,사설 IP 대역
10.191.,사설 네트워크,사설 IP 대역
10.192.,사설 네트워크,사설 IP 대역
10.193.,사설 네트워크,사설 IP 대역
10.194.,사설 네트워크,사설 IP 대역
10.195.,사설 네트워크,사설 IP 대역
10.196.,사설 네트워크,사설 IP 대역
10.197.,사설 네트워크,사설 IP 대역
10.198.,사설 네트워크,사설 IP 대역
10.199.,사설 네트워크,사설 IP 대역
10.200.,사설 네트워크,사설 IP 대역
10.201.,사설 네트워크,사설 IP 대역
10.202.,사설 네트워크,사설 IP 대역
10.203.,사설 네트워크,사설 IP 대역
10.204.,사설 네트워크,사설 IP 대역
10.205.,사설 네트워크,사설 IP 대역
10.206.,사설 네트워크,사설 IP 대역
10.207.,사설 네트워크,사설 IP 대역
10.208.,사설 네트워크,사설 IP 대역
10.209.,사설 네트워크,사설 IP 대역
10.210.,사설 네트워크,사설 IP 대역
10.211.,사설 네트워크,사설 IP 대역
10.212.,사설 네트워크,사설 IP 대역
10.213.,사설 네트워크,사설 IP 대역
10.214.,사설 네트워크,사설 IP 대역
10.215.,사설 네트워크,사설 IP 대역
10.216.,사설 네트워크,사설 IP 대역
10.217.,사설 네트워크,사설 IP 대역
10.218.,사설 네트워크,사설 IP 대역
10.219.,사설 네트워크,사설 IP 대역
10.220.,사설 네트워크,사설 IP 대역
10.221.,사설 네트워크,사설 IP 대역
10.222.,사설 네트워크,사설 IP 대역
10.223.,사설 네트워크,사설 IP 대역
10.224.,사설 네트워크,사설 IP 대역
10.225.,사설 네트워크,사설 IP 대역
10.226.,사설 네트워크,사설 IP 대역
10.227.,사설 네트워크,사설 IP 대역
10.228.,사설 네트워크,사설 IP 대역
10.229.,사설 네트워크,사설 IP 대역
10.230.,사설 네트워크,사설 IP 대역
10.231.,사설 네트워크,사설 IP 대역
10.232.,사설 네트워크,사설 IP 대역
10.233.,사설 네트워크,사설 IP 대역
10.234.,사설 네트워크,사설 IP 대역
10.235.,사설 네트워크,사설 IP 대역
10.236.,사설 네트워크,사설 IP 대역
10.237.,사설 네트워크,사설 IP 대역
10.238.,사설 네트워크,사설 IP 대역
10.239.,사설 네트워크,사설 IP 대역
10.240.,사설 네트워크,사설 IP 대역
10.241.,사설 네트워크,사설 IP 대역
10.242.,사설 네트워크,사설 IP 대역
10.243.,사설 네트워크,사설 IP 대역
10.244.,사설 네트워크,사설 IP 대역
10.245.,사설 네트워크,사설 IP 대역
10.246.,사설 네트워크,사설 IP 대역
10.247.,사설 네트워크,사설 IP 대역
10.248.,사설 네트워크,사설 IP 대역
10.249.,사설 네트워크,사설 IP 대역
10.250.,사설 네트워크,사설 IP 대역
10.251.,사설 네트워크,사설 IP 대역
10.252.,사설 네트워크,사설 IP 대역
10.253.,사설 네트워크,사설 IP 대역
10.254.,사설 네트워크,사설 IP 대역
10.255.,사설 네트워크,사설 IP 대역

# 172.16-31 대역
172.16.,사설 네트워크,사설 IP 대역
172.17.,사설 네트워크,사설 IP 대역
172.18.,사설 네트워크,사설 IP 대역
172.19.,사설 네트워크,사설 IP 대역
172.20.,사설 네트워크,사설 IP 대역
172.21.,사설 네트워크,사설 IP 대역
172.22.,사설 네트워크,사설 IP 대역
172.23.,사설 네트워크,사설 IP 대역
172.24.,사설 네트워크,사설 IP 대역
172.25.,사설 네트워크,사설 IP 대역
172.26.,사설 네트워크,사설 IP 대역
172.27.,사설 네트워크,사설 IP 대역
172.28.,사설 네트워크,사설 IP 대역
172.29.,사설 네트워크,사설 IP 대역
172.30.,사설 네트워크,사설 IP 대역
172.31.,사설 네트워크,사설 IP 대역

# 192.168 대역
192.168.,사설 네트워크,사설 IP 대역

# 링크 로컬
169.254.,링크 로컬,링크 로컬 주소

# 루프백
127.,루프백,로컬호스트

# 멀티캐스트
224.,멀티캐스트,멀티캐스트 주소
225.,멀티캐스트,멀티캐스트 주소
226.,멀티캐스트,멀티캐스트 주소
227.,멀티캐스트,멀티캐스트 주소
228.,멀티캐스트,멀티캐스트 주소
229.,멀티캐스트,멀티캐스트 주소
230.,멀티캐스트,멀티캐스트 주소
231.,멀티캐스트,멀티캐스트 주소
232.,멀티캐스트,멀티캐스트 주소
233.,멀티캐스트,멀티캐스트 주소
234.,멀티캐스트,멀티캐스트 주소
235.,멀티캐스트,멀티캐스트 주소
236.,멀티캐스트,멀티캐스트 주소
237.,멀티캐스트,멀티캐스트 주소
238.,멀티캐스트,멀티캐스트 주소
239.,멀티캐스트,멀티캐스트 주소

# 예약된 주소
240.,예약됨,예약된 주소
241.,예약됨,예약된 주소
242.,예약됨,예약된 주소
243.,예약됨,예약된 주소
244.,예약됨,예약된 주소
245.,예약됨,예약된 주소
246.,예약됨,예약된 주소
247.,예약됨,예약된 주소
248.,예약됨,예약된 주소
249.,예약됨,예약된 주소
250.,예약됨,예약된 주소
251.,예약됨,예약된 주소
252.,예약됨,예약된 주소
253.,예약됨,예약된 주소
254.,예약됨,예약된 주소
255.,예약됨,예약된 주소
0.,예약됨,예약된 주소 
